id	trial	island	attack_direction	attack_angle	species	climbing_style	regime	order	location	year	weight	standard_length	max_height	max_width	ped_height	ped_width	fineness	response	latency	S1 Duration	Escape_Angle_S1	escape_angle_31	max_vel	max_accel	Age
ag_2016_03_la	1	Hawaii	Lateral	99.4672	Awaous_stamineus	powerburst	free		hakalau	2016	2.15	58.409	9.963	9.486	6.252	2.587	7.214694369	1		21	54.822	45.7903	109.2790768	1564.817854	adult
ag_2016_04_cr	2	Hawaii	Cranial	3.9397	Awaous_stamineus	powerburst	free		hakalau	2016	2.61	63.987	10.876	11.386	6.652	2.839	6.609047444	1		30	64.6415	64.6415	69.39057239	787.4814483	adult
ag_2016_05_cr	3	Hawaii	Cranial	2.5117	Awaous_stamineus	powerburst	free		hakalau	2016	0.9	51.777	6.823	7.168	4.807	2.137	8.56060384	1		23	88.1297	90.7729	62.02042891	453.8328629	adult
ag_2016_09_cr	3	Hawaii	Cranial	4.9612	Awaous_stamineus	powerburst	free		hakalau	2016	8.68	104.955	18.01	15.017	11.946	2.461	3.552859522	1		27	70.6273	68.796	109.9308664	1396.7048	adult
ag_2016_10_ca	1	Hawaii	Caudal	176.4698	Awaous_stamineus	powerburst	free		hakalau	2016	3.08	70.824	12.395	11.289	7.831	2.007	5.162323518	1		24	95.644	85.7827	131.4450065	2170.330132	adult
ag_2016_11_cr	1	Hawaii	Cranial		Awaous_stamineus	powerburst	free		hakalau	2016	6.53	87.22	14.141	13.699	9.906	2.027	3.661480801	0							adult
ag_2016_15_cr	3	Hawaii	Cranial	7.4694	Awaous_stamineus	powerburst	free		hakalau	2016	4.3	73.62	13.64	11.049	8.172	2.465	6.672507331	1		33	149.0629	146.9478	151.6966564	2089.108461	adult
ag_2016_16_la	1	Hawaii	Lateral	96.0362	Awaous_stamineus	powerburst	free		hakalau	2016	2.41	63.902	10.68	9.867	6.771	1.729	8.521816479	1		25	72.338	73.9631	84.73700287	1202.062594	adult
ag_2016_17_ca	2	Hawaii	Caudal	174.8987	Awaous_stamineus	powerburst	free		hakalau	2016	5.97	93.955	16.054	11.48	9.492	2.001	6.379593871	1		33	83.2461	82.6542	116.9450232	1302.681665	adult
ag_2016_18_la	1	Hawaii	Lateral	96.9129	Awaous_stamineus	powerburst	free		hakalau	2016	1.36	50.277	8.245	7.672	4.869	1.115	12.42183141	1		21	69.0719	42.7793	144.5895497	2690.788871	adult
ag_2016_19_la	1	Hawaii	Lateral	103.4972	Awaous_stamineus	powerburst	free		hakalau	2016	1.51	56.223	9.762	7.446	5.666	1.779	10.49149764	1		20	65.9906	46.1261	123.9732092	1666.156939	adult
ag_2016_20_cr	3	Hawaii	Cranial	0.7757	Awaous_stamineus	powerburst	free		hakalau	2016	8.1	90.619	15.751	14.542	9.888	2.94	4.606945591	1		38	126.8116	119.6765	130.092261	1355.732702	adult
ag_2016_21_la	3	Hawaii	Lateral		Awaous_stamineus	powerburst	free		hakalau	2016	1.09	45.008	7.12	5.357	4.516	1.614	10.19157303	0							adult
as_2017_01_ca	1	Hawaii	Caudal	167.63	Awaous_stamineus	powerburst	free		hakalau	2017	1.955	52.2	9	9.3	5.3	2.2	5.8	1		14	40.6	20.18	87.01524081	1763.132546	adult
as_2017_02_cr	1	Hawaii	Cranial	4.96	Awaous_stamineus	powerburst	free		hakalau	2017	4.145	61.3	9.4	11.6	6.7	3.7	6.521276596	1	79	17	66.2		92.28488909	1887.947588	adult
as_2017_03_la	1	Hawaii	Lateral		Awaous_stamineus	powerburst	free		hakalau	2017	1.385	47	7.6	8	5.1	2.5	6.184210526	0							adult
as_2017_04_ca	1	Hawaii	Caudal	158.41	Awaous_stamineus	powerburst	free		hakalau	2017	1.45	44.7	7.3	8.4	4.6	2.3	6.123287671	1	131	11	31.86	9.39	78.78628446	1055.778499	adult
as_2017_05_ca	2	Hawaii	Caudal	164.57	Awaous_stamineus	powerburst	free		hakalau	2017	2.9	62	10.5	10.5	6.3	3.5	5.904761905	1	93	16	44.08	45.5	82.90696518	1615.522995	adult
as_2017_06_ca	1	Hawaii	Caudal	167.94	Awaous_stamineus	powerburst	free		hakalau	2017	0.187	49.3	8.6	9.2	2.4	5.2	5.73255814	1	97	14	46.59		96.61916042	3790.56827	adult
as_2017_07_la	1	Hawaii	Lateral		Awaous_stamineus	powerburst	free		hakalau	2017	5.285	71.3	12.7	12.9	2.6	7.6	5.614173228	0							adult
ag_2016_01_la	1	Hawaii	Lateral	94.8413	Awaous_stamineus	powerburst	constant		waikea	2016	3.94	59.094	11.01	12.605	6	2.253	5.367302452	1		23	41.5834	33.7357	101.0668547	1837.089254	adult
ag_2016_02_la	2	Hawaii	Lateral		Awaous_stamineus	powerburst	constant		waikea	2016	2.55	71.88	12.63	10.273	7.504	1.565	5.691211401	0							adult
ag_2016_06_la	3	Hawaii	Lateral	72.7679	Awaous_stamineus	powerburst	constant		waikea	2016	8.39	91.013	15.996	14.559	9.952	2.597	3.651475369	1		20	56.7616	53.5126	101.2488656	1059.659539	adult
ag_2016_07_la	3	Hawaii	Lateral	88.3974	Awaous_stamineus	powerburst	constant		waikea	2016	6.87	102.418	18.209	12.348	11.497	2.095	3.207699489	1		23	42.5068	40.1057	66.45710165	1200.929865	adult
ag_2016_08_cr	2	Hawaii	Cranial	4.236	Awaous_stamineus	powerburst	constant		waikea	2016	4.05	72.564	13.36	10.514	7.884	3.788	4.789446108	1		20	90.3177	83.3554	135.56946	2807.397305	adult
ag_2016_12_la	3	Hawaii	Lateral	110.1492	Awaous_stamineus	powerburst	constant		waikea	2016	3.52	71.663	12.325	11.084	7.239	2.502	4.200973631	1		15	39.2672	24.1504	84.01642725	1458.736782	adult
ag_2016_13_cr	3	Hawaii	Cranial	10.0188	Awaous_stamineus	powerburst	constant		waikea	2016	11.43	105.869	18.273	16.62	12.365	4.037	2.833524873	1		35	92.2277	85.1773	77.02792349	683.824589	adult
ag_2016_14_cr	2	Hawaii	Cranial	0.1968	Awaous_stamineus	powerburst	constant		waikea	2016	3.58	68.002	11.617	9.904	6.75	2.001	7.83446673	1		30	66.5257	66.5257	73.46882708	396.4453395	adult
as_2017_08_ca	2	Hawaii	Caudal		Awaous_stamineus	powerburst	constant		waikea	2017	7.42	79.3	14.5	14.7	8.6	4.4	5.468965517	0							adult
as_2017_09_cr	1	Hawaii	Cranial	1.3	Awaous_stamineus	powerburst	constant		waikea	2017	3.08	61.2	10.9	9.7	6.5	2.6	5.614678899	1	78	45	109.21	88.51	51.32481687	133.7231141	adult
as_2017_10_la	2	Hawaii	Lateral		Awaous_stamineus	powerburst	constant		waikea	2017	3.705	61.6	10	10.4	6.7	3.7	6.16	0							adult
as_2017_11_ca	3	Hawaii	Caudal		Awaous_stamineus	powerburst	constant		waikea	2017	7.68	75.6	13	14.9	8.4	4	5.815384615	0							adult
as_2017_12_ca	2	Hawaii	Caudal		Awaous_stamineus	powerburst	constant		waikea	2017	4.49	64.9	11.7	12	7.3	2.8	5.547008547	0							adult
as_2017_13_la	1	Hawaii	Lateral		Awaous_stamineus	powerburst	constant		waikea	2017	6.13	69.9	12.2	12.1	7.1	3.2	5.729508197	0							adult
as_2017_14_cr	2	Hawaii	Cranial		Awaous_stamineus	powerburst	constant		waikea	2017	3.2	58.1	9.7	10.4	6.3	2.9	5.989690722	0							adult
as_2017_15_cr	3	Hawaii	Cranial	4.39	Awaous_stamineus	powerburst	constant		waikea	2017	11.68	87.9	16.2	16.8	9.9	4.8	5.425925926	1	91	31	89.05	89.03	95.36343509	806.4477444	adult
as_2017_16_cr	2	Hawaii	Cranial		Awaous_stamineus	powerburst	constant		waikea	2017	5.415	70.9	12.7	14.2	8.3	3.4	5.582677165	0							adult
as_2017_17_ca	2	Hawaii	Caudal	178.56	Awaous_stamineus	powerburst	constant		waikea	2017	6.85	75.3	13.7	14.2	8.6	3.3	5.496350365	1	107	25	24	23.6	61.56669203	624.3499417	adult
as_2017_19_ca	1	Hawaii	Caudal		Awaous_stamineus	powerburst	constant		waikea	2017	3.025	55.5	9.6	9.2	6	2.6	5.78125	0							adult
as_2017_20_ca	1	Hawaii	Caudal	164.57	Awaous_stamineus	powerburst	constant		waikea	2017	1.27	45	6.9	7	4.8	1.9	6.52173913	1	98	17	70.71	59.9	83.52483203	812.8540754	adult
Aca_135_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		60.6	8.1	7.3	6.4	2.2	7.481481481	0							adult
Aca_135_cr	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		60.6	8.1	7.3	6.4	2.2	7.481481481	0							adult
Aca_135_la	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		60.6	8.1	7.3	6.4	2.2	7.481481481	0							adult
Aca_136_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		57.8	6.7	7	5.7	1.8	8.626865672	0							adult
Aca_136_cr	1	Reunion	Cranial	3	Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		57.8	6.7	7	5.7	1.8	8.626865672	1		24	68.4455		89.65917214	1091.246608	adult
Aca_136_la	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		57.8	6.7	7	5.7	1.8	8.626865672	0							adult
Aca_137_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		54.5	6.6	8	5.5	2.5	8.257575758	0							adult
Aca_137_cr	1	Reunion	Cranial	8	Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		54.5	6.6	8	5.5	2.5	8.257575758	1		33	115.4532		72.48387853	1088.880132	adult
Aca_137_la	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		54.5	6.6	8	5.5	2.5	8.257575758	0							adult
Aca_138_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		6.16	7.5	9.1	5.4	2.8	0.821333333	0							adult
Aca_138_cr	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		6.16	7.5	9.1	5.4	2.8	0.821333333	0							adult
Aca_138_la	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		6.16	7.5	9.1	5.4	2.8	0.821333333	0							adult
Aca_139_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		58	6.9	6.9	5.6	1.5	8.405797101	0							adult
Aca_139_cr	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		58	6.9	6.9	5.6	1.5	8.405797101	1							adult
Aca_139_la	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		58	6.9	6.9	5.6	1.5	8.405797101	0							adult
Aca_140_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		64.1	8.2	8.6	6.7	2.4	7.817073171	0							adult
Aca_140_cr	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		64.1	8.2	8.6	6.7	2.4	7.817073171	0							adult
Aca_140_la	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		64.1	8.2	8.6	6.7	2.4	7.817073171	0							adult
Aca_141_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		66.9	8.5	8.2	7.5	1.9	7.870588235	0							adult
Aca_141_cr	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		66.9	8.5	8.2	7.5	1.9	7.870588235	0							adult
Aca_141_la	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		66.9	8.5	8.2	7.5	1.9	7.870588235	0							adult
Aca_142_ca	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		67.2	8.6	9.3	6.8	2.4	7.813953488	0							adult
Aca_142_cr	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		67.2	8.6	9.3	6.8	2.4	7.813953488	0							adult
Aca_142_la	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		67.2	8.6	9.3	6.8	2.4	7.813953488	0							adult
Aca_143_ca	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		55.1	7.4	7.4	5	2	7.445945946	0							adult
Aca_143_cr	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		55.1	7.4	7.4	5	2	7.445945946	0							adult
Aca_143_la	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		55.1	7.4	7.4	5	2	7.445945946	0							adult
Aca_144_ca	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		63.9	9	8.5	7.2	2.1	7.1	0							adult
Aca_144_cr	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		63.9	9	8.5	7.2	2.1	7.1	0							adult
Aca_144_la	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		63.9	9	8.5	7.2	2.1	7.1	0							adult
Aca_145_ca	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		64.1	8.1	9.8	6.7	2.7	7.913580247	0							adult
Aca_145_cr	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		64.1	8.1	9.8	6.7	2.7	7.913580247	0							adult
Aca_145_la	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		64.1	8.1	9.8	6.7	2.7	7.913580247	0							adult
Aca_146_ca	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		57.7	7.7	9.4	6.3	2.4	7.493506494	0							adult
Aca_146_cr	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		57.7	7.7	9.4	6.3	2.4	7.493506494	0							adult
Aca_146_la	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		57.7	7.7	9.4	6.3	2.4	7.493506494	0							adult
Aca_147_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		56.1	7.3	8.1	5.9	2.1	7.684931507	0							adult
Aca_147_cr	1	Reunion	Cranial	2	Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		56.1	7.3	8.1	5.9	2.1	7.684931507	1		24	82.642		66.21649288	1058.743174	adult
Aca_147_la	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		56.1	7.3	8.1	5.9	2.1	7.684931507	0							adult
Aca_148_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		45.9	6.2	7.3	5.1	1.9	7.403225806	0							adult
Aca_148_cr	1	Reunion	Cranial	3	Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		45.9	6.2	7.3	5.1	1.9	7.403225806	1		15	95.4663		113.1977643	2237.528828	adult
Aca_148_la	1	Reunion	Lateral	105	Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		45.9	6.2	7.3	5.1	1.9	7.403225806	1		10	46.7985		83.04900144	2232.755235	adult
Aca_149_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		38	5.1	5.7	4.1	1.8	7.450980392	0							adult
Aca_149_cr	1	Reunion	Cranial	2	Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		38	5.1	5.7	4.1	1.8	7.450980392	1		12	79.9014		130.1673194	3761.164543	adult
Aca_149_la	1	Reunion	Lateral	77	Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		38	5.1	5.7	4.1	1.8	7.450980392	1		12	59.1536		138.93769	4047.630669	adult
Aca_161_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		44.2	5.8	5.3	4.2	1.8	7.620689655	0							adult
Aca_161_cr	1	Reunion	Cranial		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		44.2	5.8	5.3	4.2	1.8	7.620689655	0							adult
Aca_161_la	1	Reunion	Lateral		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		44.2	5.8	5.3	4.2	1.8	7.620689655	0							adult
Aca_162_ca	1	Reunion	Caudal		Cotylopus acutipinnis	powerburst	diminished	2	reunion	2016		37.5	4.8	4.5	3.7	1.1	7.8125	0							adult
